_id,name,brand,manufacturer,PriorityIndex,category,subCategory,margin,margin%,sp,mrp,availability,limit,DealerPrice,JioMartPrice,BigBasketPrice,GrofersPrice,discount,gst,weight,description,imageUrl,productImageUrl
ObjectId(5ffb514e80ef0812f27081da),Amul Fruit n Nut Chocolate,Amul,Kaira Coop Milk Producers (Anand),10,Confectionery and Snacks ,,20,20,80,100,Y,10,80,80,90,80,20,18,150gm,,https://images-na.ssl-images-amazon.com/images/I/91z9scfQj4L._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/81lJPzUIIcL._SL1500_.jpg
ObjectId(5ffb514e80ef0812f27081db),Utterly Del Chocolate Syrup,Amul,Kaira Coop Milk Producers (Anand),8,Confectionery and Snacks ,,20,14.28571429,119,140,Y,10,120,112,112,112,15,18,650gm,,,https://images-na.ssl-images-amazon.com/images/I/21XSe3Ab39L.jpg
ObjectId(5ffb514e80ef0812f27081dc),Amul Colombia Chocolate,Amul,Kaira Coop Milk Producers (Anand),10,Confectionery and Snacks ,,30,20,120,150,N,10,120,135,120,120,20,18,125gm,,,https://images-na.ssl-images-amazon.com/images/I/41Iq363YasL.jpg
ObjectId(5ffb514e80ef0812f27081dd),Amul ALMONDO,Amul,Kaira Coop Milk Producers (Anand),10,Confectionery and Snacks ,,40,20,160,200,Y,10,160,160,160,160,20,18,200g,,https://images-na.ssl-images-amazon.com/images/I/81Q3MM0hCxL._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/81uTs-%2BPPIL._SL1500_.jpg
ObjectId(5ffb514e80ef0812f27081de),Amul Milk Chocolate,Amul,Kaira Coop Milk Producers (Anand),5,Confectionery and Snacks ,,2.5,16.66666667,12,15,N,10,12.5,12,12,12,17,18,20g,,https://images-na.ssl-images-amazon.com/images/I/41JHGrDPsaL.jpg,https://images-na.ssl-images-amazon.com/images/I/31WXigwadZL.jpg
ObjectId(5ffb514e80ef0812f27081df),Amul Dark Chocolate,Amul,Kaira Coop Milk Producers (Anand),10,Confectionery and Snacks ,,20,20,80,100,Y,10,80,80,100,80,20,18,150g,,,https://images-na.ssl-images-amazon.com/images/I/715cCnXt7WL._SL1200_.jpg
ObjectId(5ffb514e80ef0812f27081e0),Amul Milk Chocolate,Amul,Kaira Coop Milk Producers (Anand),10,Confectionery and Snacks ,,20,20,80,100,Y,10,80,80,90,80,20,18,150g,,https://images-na.ssl-images-amazon.com/images/I/81fAUhIJ3OL._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/51RhKEUYryL.jpg
ObjectId(5ffb514e80ef0812f27081e1),Amul Tropical Orange CHOCOLATE,Amul,Kaira Coop Milk Producers (Anand),10,Confectionery and Snacks ,,25,20,100,125,Y,10,100,100,100,100,20,18,150g,,https://images-na.ssl-images-amazon.com/images/I/915v0EMOfJL._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/81qjGVlvGGL._SL1500_.jpg
ObjectId(5ffb514e80ef0812f27081e2),Amul Bitter Chocolate,Amul,Kaira Coop Milk Producers (Anand),10,Confectionery and Snacks ,,25,20,100,125,Y,10,100,112,115,100,20,18,150g,,,https://images-na.ssl-images-amazon.com/images/I/61flzUqzoxL._SL1200_.jpg
ObjectId(5ffb514e80ef0812f27081e3),Amul Mystic Mocha CHOCOLATE,Amul,Kaira Coop Milk Producers (Anand),10,Confectionery and Snacks ,,25,20,100,125,Y,10,100,100,115,100,20,18,150g,,https://images-na.ssl-images-amazon.com/images/I/71agCVSbm-L._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/61O%2BE-htgHL._SL1500_.jpg
ObjectId(5ffb514e80ef0812f27081e4),Amul Choco Cracker CHOCOLATE,Amul,Kaira Coop Milk Producers (Anand),10,Confectionery and Snacks ,,30,20,120,150,N,10,120,135,140,120,20,18,150g,,,https://images-na.ssl-images-amazon.com/images/I/81vu2MfH88L._SL1500_.jpg
ObjectId(5ffb514e80ef0812f27081e5),Amul Chocomini Tub,Amul,Kaira Coop Milk Producers (Anand),7,Confectionery and Snacks ,,12.84,10.7,107,120,Y,10,107.16,96,120,96,11,18,250g,,https://images-na.ssl-images-amazon.com/images/I/51TiMR9LOqL.jpg,https://images-na.ssl-images-amazon.com/images/I/51W2GRYY5kL.jpg
ObjectId(5ffb514e80ef0812f27081e6),Amul Dark Passion Choc Wafers,Amul,Kaira Coop Milk Producers (Anand),10,Confectionery and Snacks ,,40,20,160,200,N,10,160,160,160,160,20,18,300g,,,https://www.amul.com/products/amul-dark-passion-waferbar-info.php
